wl,k
3.135,1.6252E-02
3.140,1.6261E-02
3.145,1.6270E-02
3.150,1.6279E-02
3.155,1.6288E-02
3.160,1.6298E-02
3.165,1.6307E-02
3.170,1.6316E-02
3.175,1.6325E-02
3.180,1.6335E-02
3.185,1.6344E-02
3.190,1.6353E-02
3.195,1.6363E-02
3.200,1.6372E-02
