theta [deg],vacuum wavelength [um],absorption in whole stack [unitless],absorption in active material [unitless],absorption in active material [#photons/(m^2s)],Transmission Coeff [unitless],Reflection Coeff [unitless]
1,0.620,0.780111630709266,0.709838151650942,2940001701447896.5,0.17838703556474472,0.04097812583968788
1,0.600,0.8159660356137063,0.755383008012462,3027715166550608.5,0.1462905551401893,0.03713854701171156
1,0.580,0.7918919718691875,0.743041527243166,2878973282378645.0,0.10731412219770685,0.10014694079211565
1,0.560,0.8956434176572461,0.8474970527260564,3170463649211980.5,0.08692888353319654,0.016617072052581262
1,0.540,0.8996131211699088,0.8510504684053174,3070051278653387.0,0.034754897353574794,0.0631572872798069
1,0.520,0.9442122626098627,0.8797585320673127,3056070619226959.5,0.006532160981195617,0.0427840111803005
1,0.500,0.8838536009479913,0.7980527590102257,2665619533990270.0,0.00952924094310004,0.10087810131019279
1,0.480,0.7080900643512713,0.621768377772258,1993730361942773.0,0.04280520723345211,0.24673247991721192
1,0.460,0.8345179739700486,0.7252329292006578,2228598845964075.5,0.14643596545928442,0.018312936279551505
1,0.440,0.7550933256379231,0.6597295869578973,1939166913185144.0,0.1395499767603314,0.10500859770083561
1,0.420,0.723570208964064,0.6111601106205399,1714750135417686.0,0.13414143979082602,0.1418614084794261
1,0.400,0.8624147176385525,0.6884237867047619,1839553460881149.8,0.12376226555189504,0.012830743852033035
1,0.380,0.7312135522250302,0.5163025649726307,1310643064881935.2,0.12942424302934658,0.13927951093790705
1,0.360,0.8037824138052818,0.47074993683938754,1132111822720141.5,0.17377968481232886,0.02361580170558229
1,0.340,0.7473080732442022,0.39543308379932385,898149170777602.2,0.16960727726778968,0.08452452357986474
1,0.320,0.8130524571630493,0.375284043363353,802244285122115.8,0.1514915223259775,0.03715603167994804
1,0.300,0.7820928397963659,0.23343052518063503,467816414936898.56,0.07173808132323428,0.1483989087261382
2,1.200,0.310580955593718,0.237516080128166,1903146966172972.5,0.1291311729819921,0.5605651271950115
2,1.180,0.2976265080604974,0.22559004285828388,1777460661508423.0,0.1251911051204963,0.5774560197247828
2,1.160,0.2932161674653246,0.22018343465261236,1705456689865912.0,0.12477271924866958,0.5822860932127728
2,1.140,0.29806081129382617,0.22166524494885284,1687331911559923.0,0.12829825923749147,0.5739230712113216
2,1.120,0.3133146084981034,0.23070428203689805,1725328283420076.0,0.1363965324958512,0.5505847176639164
2,1.100,0.3405219017410747,0.24822003069273932,1823171712246006.8,0.149886648799086,0.5099079284933008
2,1.080,0.37842392086754606,0.27511693542715515,1983988472050466.5,0.1711380516095815,0.4507992392410882
2,1.060,0.42752417718302943,0.31035413789634503,2196653056772034.0,0.1983561345906543,0.3745402925737112
2,1.040,0.479920403661852,0.34822751049990724,2418212607541423.5,0.22892458118782114,0.29163543548043236
2,1.020,0.5184796614164062,0.3763055389598705,2562942402776461.5,0.2544456436227694,0.2275938814860123
2,1.000,0.5245547437028885,0.3811256394413136,2544873677752928.0,0.2646608521210379,0.21129963168415442
2,0.980,0.5222083571294983,0.3951872066264514,2585991042152279.5,0.24579886201441492,0.2324500945691071
2,0.960,0.5166491245123271,0.4120461867061503,2641284580748548.0,0.2105601359556229,0.2731297805066124
2,0.940,0.5376441617459851,0.4511141620383301,2831472699703032.0,0.17995318397643814,0.28256309078254666
2,0.920,0.6034093555392408,0.5298356336817045,3254820585923234.0,0.1545759247638967,0.2418823714770061
2,0.900,0.7031903156414,0.6405955045489184,3849678483984498.0,0.12650806660542985,0.16967030350454174
2,0.880,0.7981338364007025,0.7459303960631744,4383076397537870.5,0.09288221404052824,0.10761955654087989
2,0.860,0.8731885912553966,0.8276789052963475,4752896986974183.0,0.06484440431827945,0.05974977548952249
2,0.840,0.933112173314788,0.8896272816992906,4989826469407767.0,0.0514935648054892,0.012518374414365102
2,0.820,0.9384586376611017,0.8957080731012084,4904315540808390.0,0.05115521469318826,0.007520216731597247
2,0.800,0.8745524586166709,0.8334752883191046,4452262672036642.0,0.05947689527308354,0.06375382979792082
2,0.780,0.7903438275999496,0.7504382038953611,3908477369942715.5,0.07387921707613407,0.1343072288222243
2,0.760,0.7238919691326268,0.6841416159694258,3471823713028012.5,0.08838404134581965,0.18672176029994006
2,0.740,0.7135381157075056,0.671972344161048,3320329492058644.0,0.0990818503975787,0.1864874126562394
2,0.720,0.7786166385337663,0.7324905824338931,3521539835847156.5,0.10766154892585852,0.11265913847346366
2,0.700,0.855843835553958,0.8035254355937304,3755741842536464.5,0.1203130275031064,0.022664932272567617
2,0.680,0.8358711793213421,0.778933842582898,3536775957167449.5,0.13825877250451138,0.024931029579815085
2,0.660,0.71950217613128,0.6624713980946869,2919504384414593.0,0.14612045468484616,0.1337566321011887
2,0.640,0.666793057430693,0.6061963659570937,2590546344828606.0,0.15742249242099626,0.17531682589106423
2,0.620,0.7796255771919625,0.7093872263621425,2936791518557274.0,0.1782138776278132,0.041637230198608974
2,0.600,0.8163802151761755,0.7557513917802459,3027807565010864.0,0.14630161890326865,0.03671200847913482
2,0.580,0.7918925222651043,0.7430283024800728,2877606553880043.5,0.10725610546189206,0.10020316500257526
2,0.560,0.8953886263726264,0.8472482606521538,3168084645580683.0,0.08684682547008951,0.01695275506200975
2,0.540,0.8998835496440274,0.8513052028899285,3069566957242812.5,0.03473753475225969,0.06290266387399561
2,0.520,0.943730728761752,0.879301052798092,3053085737896284.0,0.00652175213495609,0.04327830390221169
2,0.500,0.8847055002385418,0.7988001845404117,2666896887862216.5,0.00952540848422967,0.100023224770754
2,0.480,0.7074171068468292,0.6211462760743832,1990825463644752.2,0.04271810546009399,0.24749385190542145
2,0.460,0.8346874257218603,0.7253223503348609,2227855175477267.8,0.1463398149776854,0.018238413262746837
2,0.440,0.7554813545872692,0.6600653842205034,1939267404624993.2,0.1394972866122003,0.1046727869596054
2,0.420,0.7232058381890649,0.6108706874390889,1713154929189325.2,0.13396532459703464,0.14240239259327422
2,0.400,0.8628599436719262,0.6887947335888047,1839703662503032.0,0.1237436779788436,0.012404024255882998
2,0.380,0.731010952875042,0.5161625363641782,1309688879974464.8,0.12931484920022973,0.13959138251012296
2,0.360,0.8036700568889744,0.4706448746725203,1131341968376876.2,0.17365930623799242,0.023847994357729423
2,0.340,0.7476647888907014,0.3956322408405837,898190912238056.8,0.16962075005069524,0.08415467240791753
2,0.320,0.8123923297279293,0.3749263627828503,801113445437365.8,0.15130243802603124,0.03800360224213683
2,0.300,0.7820357700557371,0.2334184140056171,467578391138807.56,0.0717080995598606,0.14848637556223507
3,1.200,0.31085773977257586,0.2377460834805309,1903538777765182.2,0.12916193917687552,0.5602576855926045
3,1.180,0.29773794885507476,0.22569198493568085,1776909276002973.5,0.12515823557852288,0.5773774459881771
3,1.160,0.29316176485808554,0.2201595120070781,1703972392963504.0,0.12467212633078334,0.5824409649380955
3,1.140,0.2978338803583685,0.22151317634437007,1684889900372959.8,0.12812307562280667,0.5743249316556845
3,1.120,0.31290204133495264,0.23041724908440084,1721869055108045.0,0.13613681764197322,0.5512566090765744
3,1.100,0.3399113471014762,0.24779200255167072,1818641435465898.2,0.14953238402665786,0.5108722272534932
3,1.080,0.37763220474441306,0.27455845090273395,1978452748263091.2,0.17068526560553265,0.45204308887871897
3,1.060,0.42664268541298395,0.30973104031386717,2190572884596978.5,0.19784109066820438,0.37593613718785424
3,1.040,0.4791834423709877,0.3477081650009294,2412766750856579.0,0.22845541299429004,0.29284109610394254
3,1.020,0.5182238705162833,0.3761320382477201,2559809286446437.5,0.2541952335486543,0.2281001975608495
3,1.000,0.5249389236496408,0.38141184692364516,2544844729193513.0,0.2647313384378537,0.2108458023166432
3,0.980,0.5230565072516644,0.39582771078970064,2588209228855149.0,0.24609205484258706,0.23131003043971776
3,0.960,0.5173903701322027,0.41262836730670094,2643001597251754.0,0.21078113194203352,0.2721686133904316
3,0.940,0.5379628431728137,0.45136723505330806,2830903040955751.5,0.1800001094397683,0.28219819953884273
3,0.920,0.6032227473309281,0.5296543478900493,3251228401746190.5,0.15448445035098865,0.24216110550424977
3,0.900,0.7026073801062628,0.6400466331676826,3843450020216110.0,0.12637107502253214,0.1703912386814966
3,0.880,0.7973883218430708,0.7452179325584017,4375554325068517.5,0.09277069786160896,0.10847808161918893
3,0.860,0.8724377909685952,0.8269539483577186,4745116586741131.0,0.06476714968692188,0.060579674731704856
3,0.840,0.9327054747919901,0.889228192107462,4983788690962961.0,0.05144865322753385,0.012970948435938729
3,0.820,0.938800182776276,0.8960257662804036,4902317803928444.0,0.05114556791727311,0.007186802916717928
3,0.800,0.8753161504899797,0.8341995526016972,4452737064476133.0,0.059490289116384584,0.06297426990181776
3,0.780,0.790969726760424,0.7510342630530465,3908602128979959.0,0.07388635906012427,0.13367261668396546
3,0.760,0.7240464204329748,0.6842933000068168,3469948196315417.0,0.0883422848590035,0.186608717662654
3,0.740,0.7130143710379331,0.6714866829021864,3315402303370305.5,0.09894445361487092,0.18714930469961563
3,0.720,0.7776116261991172,0.7315534951689242,3514355548602092.5,0.10745289576941601,0.11387435882483668
3,0.700,0.8552945602869736,0.8030209448068454,3750524648656119.5,0.12015329857602099,0.023374922945081648
3,0.680,0.8365877778774089,0.779616906577922,3537180908821282.5,0.1382821185982487,0.024190659791182303
3,0.660,0.720348882731137,0.6632646605670031,2920773669769695.5,0.14620035235562612,0.13282969084259372
3,0.640,0.6664573998022263,0.6058951155520602,2587286583685677.5,0.1572552465042056,0.17582005642906892
3,0.620,0.7788095108446633,0.7086303344536348,2931423329920919.5,0.17792423423550244,0.04274277000327763
3,0.600,0.8170661671578718,0.756361338037426,3027942912621105.0,0.14631931079664398,0.03600621016126961
3,0.580,0.7918999416942145,0.7430123599666565,2875352823668002.5,0.10716045091122874,0.100289326737743
3,0.560,0.8949579659161335,0.8468278919268989,3164100665000996.5,0.08670970730201301,0.01751859722037708
3,0.540,0.9003375140387861,0.8517328048556452,3068769333109063.0,0.03470875701693806,0.06247486961212496
3,0.520,0.9429255044393646,0.8785361201344826,3048106074934065.0,0.006504422546048108,0.04410479516131053
3,0.500,0.8861278700579401,0.8000481111482366,2669028551654296.5,0.009519030512504906,0.09859586320543033
3,0.480,0.706309618029727,0.6201220299823952,1986028646591128.5,0.042574048369210436,0.24874754484930736
3,0.460,0.834946311993364,0.7254507736014499,2226552249214613.5,0.14617561038863763,0.018141715836682996
3,0.440,0.756132608604425,0.6606287194146986,1939443969481319.2,0.1394101990103897,0.10410782575252804
